Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
1e-09	10000000.0	1e-09	1000000000000000.0
1e-09	11220184.54301963	1e-09	1122018454301963.0
1e-09	12589254.117941663	1e-09	1258925411794166.2
1e-09	14125375.446227554	1e-09	1412537544622755.5
1e-09	15848931.924611142	1e-09	1584893192461114.2
1e-09	17782794.100389227	1e-09	1778279410038922.8
1e-09	19952623.149688788	1e-09	1995262314968878.8
1e-09	22387211.385683376	1e-09	2238721138568337.5
1e-09	25118864.315095823	1e-09	2511886431509582.0
1e-09	28183829.31264455	1e-09	2818382931264455.0
1e-09	31622776.60168379	1e-09	3162277660168379.5
1e-09	35481338.92335753	1e-09	3929416360406152.5
1e-09	39810717.05534969	1e-09	3981071705534969.0
1e-09	44668359.21509635	1e-09	4466835921509634.5
1e-09	50118723.36272725	1e-09	5011872336272725.0
1e-09	56234132.51903491	1e-09	5623413251903491.0
1e-09	63095734.448019296	1e-09	6309573444801930.0
1e-09	70794578.43841374	1e-09	7079457843841373.0
